Time[s] - Voltage	Amplitude [V] - Voltage	
0.0933	2.7885	
0.0934	2.7885	
0.0935	2.7885	
0.0936	2.7885	
0.0937	2.7885	
0.0938	2.7885	
0.0939	2.78752	
0.094	2.78948	
0.0941	2.79013	
0.0942	2.78752	
0.0943	-2.90302	
0.0944	-2.77299	
0.0945	-2.77136	
0.0946	-2.77071	
0.0947	-2.76941	
0.0948	-2.76876	
0.0949	-2.76876	
0.095	-2.77039	
0.0951	-2.76941	
0.0952	-2.77006	
0.0953	-2.76973	
0.0954	-2.77039	
0.0955	-2.76908	
0.0956	-2.76876	
0.0957	-2.76941	
0.0958	-2.76973	
0.0959	-2.77006	
0.096	-2.76843	
0.0961	-2.76908	
0.0962	-2.76908	
0.0963	-2.76908	
0.0964	-2.76973	
0.0965	-2.77006	
0.0966	-2.77039	
0.0967	-2.77006	
0.0968	-2.76973	
0.0969	-2.76973	
0.097	-2.77006	
0.0971	-2.76941	
0.0972	-2.76941	
0.0973	-2.77071	
0.0974	-2.77006	
0.0975	-2.77071	
0.0976	-2.76973	
0.0977	-2.76973	
0.0978	-2.76843	
0.0979	-2.77006	
0.098	-2.77039	
0.0981	-2.77039	
0.0982	-2.77071	
0.0983	-2.77234	
0.0984	-2.77104	
0.0985	-2.77136	
0.0986	-2.76941	
0.0987	-2.77039	
0.0988	-2.77104	
0.0989	-2.77136	
0.099	-2.77104	
0.0991	-2.76973	
0.0992	-2.76941	
0.0993	-2.77039	
0.0994	-2.77039	
0.0995	-2.76973	
0.0996	-2.77006	
0.0997	-2.77006	
0.0998	-2.77071	
0.0999	-2.77169	
